OBJECTID,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN
1,13,4,13,47
2,99,99,99,99
3,1,50,99,99
4,15,9,15,44
5,18,54,88,88
6,18,32,99,99
7,99,99,88,88
8,99,99,99,99
9,11,54,12,41
10,0,33,88,88
11,11,57,12,30
12,20,43,20,55
13,18,13,18,26
14,6,17,7,6
15,17,32,18,15
16,20,33,99,99
17,99,99,88,88
18,13,6,13,44
19,0,41,88,88
20,99,99,88,88
21,14,15,88,88
22,15,11,88,88
23,19,42,20,7
24,20,36,21,7
25,23,18,88,88
26,23,21,88,88
27,15,22,99,99
28,23,51,88,88
29,8,19,88,88
30,6,36,88,88
31,17,14,17,36
32,14,55,88,88
33,18,33,19,20
34,6,45,88,88
35,7,50,88,88
36,19,41,20,40
37,10,37,88,88
38,7,20,88,88
39,8,11,8,36
40,4,40,88,88
41,7,46,88,88
42,18,6,18,57
43,15,50,99,99
44,19,43,88,88
45,20,39,99,99
46,99,99,88,88
47,12,59,13,22
48,6,29,88,88
49,16,42,17,10
50,21,54,99,99
51,9,43,88,88
52,6,0,99,99
53,16,1,16,44
54,15,7,88,88
55,6,25,88,88
56,19,32,88,88
57,15,50,88,88
58,14,27,14,46
59,21,41,88,88
60,11,47,12,15
61,4,23,88,88
62,5,6,88,88
63,1,3,2,14
64,18,30,18,53
65,3,28,4,7
66,20,8,88,88
67,10,41,88,88
68,18,50,19,28
69,11,19,88,88
70,23,44,88,88
71,99,99,88,88
72,15,17,88,88
73,16,43,88,88
74,16,12,88,88
75,21,57,88,88
76,1,29,1,42
77,18,14,88,88
78,99,99,88,88
79,21,37,88,88
80,7,46,88,88
81,13,36,99,99
82,17,20,99,99
83,20,14,20,36
84,99,99,88,88
85,14,25,99,99
86,20,38,88,88
87,6,12,99,99
88,99,99,88,88
89,11,5,88,88
90,13,50,99,99
91,99,99,99,99
92,6,21,99,99
93,10,10,99,99
94,10,30,99,99
95,21,58,99,99
96,99,99,88,88
97,17,40,99,99
98,10,23,99,99
99,10,39,99,99
100,16,25,99,99
101,20,40,88,88
102,5,50,88,88
103,22,25,99,99
104,0,36,99,99
105,8,53,99,99
106,14,28,99,99
107,19,0,99,99
108,20,25,88,88
109,20,56,88,88
110,99,99,99,99
111,23,20,99,99
112,99,99,88,88
113,1,45,99,99
114,7,0,99,99
115,99,99,99,99
116,0,44,88,88
117,1,51,88,88
118,5,35,88,88
119,8,19,99,99
120,5,45,88,88
121,6,29,88,88
122,18,7,99,99
123,20,23,99,99
124,8,5,9,14
125,99,99,88,88
126,15,39,88,88
127,14,53,15,9
128,7,44,88,88
129,5,15,6,7
130,6,8,88,88
131,5,35,88,88
132,10,5,10,27
133,23,3,23,34
134,22,0,99,99
135,15,23,88,88
136,2,55,88,88
137,99,99,88,88
138,12,11,88,88
139,5,29,88,88
140,23,0,99,99
141,99,99,88,88
142,17,30,88,88
143,16,11,17,21
144,0,3,0,36
145,14,53,88,88
146,99,99,88,88
147,18,49,88,88
148,2,5,99,99
149,12,12,88,88
150,17,48,88,88
151,18,36,18,47
152,99,99,88,88
153,11,20,11,54
154,7,1,7,44
155,18,53,88,88
156,1,1,1,11
157,14,35,88,88
158,99,99,88,88
159,16,45,88,88
160,13,50,14,22
161,17,56,19,1
162,8,8,8,49
163,12,43,13,49
164,2,20,2,39
165,12,49,88,88
166,7,10,88,88
167,22,0,99,99
168,21,35,99,99
169,17,49,88,88
170,10,3,10,45
171,17,34,88,88
172,7,39,8,4
173,16,28,17,30
174,9,50,99,99
175,22,23,99,99
176,17,0,17,37
177,9,40,88,88
178,14,18,88,88
179,6,3,6,53
180,6,35,88,88
181,11,5,11,30
182,9,8,9,23
183,1,45,88,88
184,4,8,88,88
185,23,10,99,99
186,16,44,17,5
187,22,52,88,88
188,19,45,20,4
189,4,5,88,88
190,21,28,21,40
191,22,59,88,88
