OBJECTID,ST_CASE,FATALS,PERSONS,VE_TOTAL,VE_FORMS,PEDS,PERNOTMVIT,SCH_BUS,RAIL,WRK_ZONE
1,10001,1,3,2,2,0,0,0,0000000,0
2,10002,2,5,2,2,0,0,0,0000000,0
3,10003,1,2,1,1,0,0,0,0000000,0
4,10004,1,1,1,1,0,0,0,0000000,0
5,10005,1,1,1,1,1,1,0,0000000,0
6,10006,1,5,1,1,1,1,0,0000000,0
7,10007,1,1,2,2,0,0,0,0000000,0
8,10008,1,1,1,1,0,0,0,0000000,0
9,10009,1,3,2,2,0,0,0,0000000,0
10,10010,1,1,1,1,0,0,0,0000000,0
11,10011,1,2,1,1,0,0,0,0000000,0
12,10012,2,2,2,2,0,0,0,0000000,0
13,10013,1,4,2,2,0,0,0,0000000,0
14,10014,1,3,2,2,0,0,0,0000000,0
15,10015,1,2,1,1,0,0,0,0000000,0
16,10016,1,1,1,1,0,0,0,0000000,0
17,10017,1,1,1,1,0,0,0,0000000,0
18,10018,1,1,1,1,0,0,0,0000000,0
19,10019,1,2,1,1,1,1,0,0000000,0
20,10020,1,1,1,1,0,0,0,0000000,0
21,10021,1,1,1,1,0,0,0,0000000,0
22,10022,1,1,1,1,0,0,0,0000000,0
23,10023,1,2,2,2,0,0,0,0000000,0
24,10024,1,4,3,3,0,0,0,0000000,0
25,10025,1,1,1,1,1,1,0,0000000,0
26,10026,1,2,2,2,1,1,0,0000000,0
27,10027,1,1,1,1,0,0,0,349959Y,0
28,10028,1,1,1,1,1,1,0,0000000,0
29,10029,1,2,2,2,0,0,0,0000000,0
30,10030,1,1,1,1,0,0,0,0000000,0
31,10031,1,1,1,1,0,0,0,0000000,0
32,10032,1,1,1,1,0,0,0,0000000,0
33,10033,1,1,1,1,0,0,0,0000000,0
34,10034,1,1,1,1,0,0,0,0000000,0
35,10035,1,1,1,1,0,0,0,0000000,0
36,10036,1,1,1,1,0,0,0,0000000,0
37,10037,1,1,1,1,0,0,0,0000000,0
38,10038,1,1,1,1,0,0,0,0000000,0
39,10039,1,5,3,3,0,0,0,0000000,0
40,10040,1,1,1,1,0,0,0,0000000,0
41,10041,1,1,1,1,1,1,0,0000000,0
42,10042,1,5,2,2,0,0,0,0000000,0
43,10043,1,5,1,1,0,0,0,727642A,0
44,10044,1,1,1,1,1,1,0,0000000,0
45,10045,1,1,1,1,0,0,0,0000000,0
46,10046,2,2,1,1,0,0,0,0000000,0
47,10047,1,3,3,3,0,0,0,0000000,0
48,10048,1,2,2,2,0,0,0,0000000,0
49,10049,1,2,2,2,0,0,0,0000000,0
50,10050,1,2,1,1,0,0,0,0000000,0
51,10051,1,1,1,1,0,0,0,0000000,0
52,10052,1,2,2,2,0,0,0,0000000,0
53,10053,1,1,1,1,0,0,0,0000000,0
54,10054,1,1,1,1,0,0,0,0000000,0
55,10055,1,1,1,1,1,1,0,0000000,0
56,10056,1,1,1,1,0,0,0,0000000,0
57,10057,1,1,1,1,0,0,0,0000000,0
58,10058,1,1,1,1,0,0,0,0000000,0
59,10059,1,1,1,1,1,1,0,0000000,0
60,10060,1,3,3,1,1,2,0,0000000,0
61,10061,1,1,1,1,0,0,0,0000000,0
62,10062,1,1,1,1,0,0,0,0000000,0
63,10063,1,3,1,1,0,0,0,0000000,0
64,10064,1,4,3,3,0,0,0,0000000,0
65,10065,1,2,2,2,0,0,0,0000000,0
66,10066,1,2,2,2,0,0,0,0000000,0
67,10067,1,1,3,1,0,0,0,0000000,0
68,10068,2,4,2,2,0,0,0,0000000,0
69,10069,1,2,2,2,0,0,0,0000000,0
70,10070,1,1,1,1,1,1,0,0000000,0
71,10071,1,2,2,2,0,0,0,0000000,0
72,10072,1,3,2,2,0,0,0,0000000,0
73,10073,1,2,2,2,0,0,0,0000000,0
74,10074,1,2,2,2,0,0,0,0000000,0
75,10075,1,2,1,1,0,0,0,0000000,0
76,10076,1,4,2,2,0,0,0,0000000,0
77,10077,1,1,1,1,1,1,0,0000000,0
78,10078,1,1,1,1,0,0,0,0000000,0
79,10079,1,1,1,1,0,0,0,0000000,1
80,10080,2,3,3,3,0,0,0,0000000,0
81,10081,1,8,5,5,0,0,0,0000000,2
82,10082,1,4,3,3,0,0,0,0000000,0
83,10083,1,4,2,2,0,0,0,0000000,0
84,10084,1,1,1,1,0,0,0,0000000,0
85,10085,1,2,2,2,0,0,0,0000000,0
86,10086,1,2,1,1,1,1,0,0000000,0
